"start time","request type","latency","response code"
"1701937111394","POST","82","io.swagger.client.ApiResponse@26207a85"
"1701937111395","POST","81","io.swagger.client.ApiResponse@12b65535"
"1701937111394","POST","82","io.swagger.client.ApiResponse@225a888b"
"1701937111396","POST","83","io.swagger.client.ApiResponse@7643a613"
"1701937111396","POST","83","io.swagger.client.ApiResponse@5c6e755"
"1701937111394","POST","85","io.swagger.client.ApiResponse@4cb8e32a"
"1701937111395","POST","88","io.swagger.client.ApiResponse@739372ce"
"1701937111395","POST","88","io.swagger.client.ApiResponse@357e42b8"
"1701937111396","POST","87","io.swagger.client.ApiResponse@25a38808"
"1701937111397","POST","97","io.swagger.client.ApiResponse@526a38e2"
"1701937111507","POST","76","io.swagger.client.ApiResponse@2cd811f5"
"1701937111527","POST","94","io.swagger.client.ApiResponse@3f8629c8""1701937111516","POST","105","io.swagger.client.ApiResponse@f3e8c25"

"1701937111527","POST","95","io.swagger.client.ApiResponse@796b19be"
"1701937111516","POST","106","io.swagger.client.ApiResponse@184e3e45"
"1701937111516","POST","107","io.swagger.client.ApiResponse@4640885a"
"1701937111536","POST","87","io.swagger.client.ApiResponse@58925392"
"1701937111516","POST","107","io.swagger.client.ApiResponse@28a2e3fb"
"1701937111516","POST","107","io.swagger.client.ApiResponse@7cbbcd63"
"1701937111575","POST","88","io.swagger.client.ApiResponse@2f5be378"
"1701937111621","POST","79","io.swagger.client.ApiResponse@4c8b31e6"
"1701937111659","POST","77","io.swagger.client.ApiResponse@7872b9fb"
"1701937111659","POST","83","io.swagger.client.ApiResponse@8e81c07"
"1701937111663","POST","79","io.swagger.client.ApiResponse@5221068a"
"1701937111658","POST","84","io.swagger.client.ApiResponse@3da84636"
"1701937111658","POST","84","io.swagger.client.ApiResponse@1e3e509c"
"1701937111663","POST","79","io.swagger.client.ApiResponse@7d735a49"
"1701937111659","POST","88","io.swagger.client.ApiResponse@1b48ab64"
"1701937111663","POST","84","io.swagger.client.ApiResponse@548498b6"
"1701937111692","POST","89","io.swagger.client.ApiResponse@53834e7c"
"1701937111781","POST","53","io.swagger.client.ApiResponse@98ee6f"
"1701937111730","POST","112","io.swagger.client.ApiResponse@3442a30d"
"1701937111781","POST","86","io.swagger.client.ApiResponse@58e7a0d"
"1701937111780","POST","95","io.swagger.client.ApiResponse@457281a1"
"1701937111780","POST","95","io.swagger.client.ApiResponse@66037469"
"1701937111780","POST","95","io.swagger.client.ApiResponse@704b64f8"
"1701937111790","POST","86","io.swagger.client.ApiResponse@2c987cec"
"1701937111782","POST","99","io.swagger.client.ApiResponse@2ab8a7d4"
"1701937111790","POST","91","io.swagger.client.ApiResponse@6305df0f"
"1701937111863","POST","82","io.swagger.client.ApiResponse@2bc9dcf6"
"1701937111876","POST","81","io.swagger.client.ApiResponse@1c64719c"
"1701937111876","POST","90","io.swagger.client.ApiResponse@47c33531"
"1701937111896","POST","88","io.swagger.client.ApiResponse@5a25e890"
"1701937111910","POST","86","io.swagger.client.ApiResponse@2c7715ae"
"1701937111916","POST","80","io.swagger.client.ApiResponse@11693c30"
"1701937111916","POST","80","io.swagger.client.ApiResponse@654d2386"
